"Facebook connection failed.","Връзката с Фейсбук бе неуспешна."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Вашият профил във Фейсбук е свързан успешно. Сега можете да използвате данните си от Фейсбук за бърз и лесен вход по всяко време."
"Service temporarily unavailable.","Услугата е временно недостъпна."
"Email address is required.","Вашият и-мейл адрес е задължителен."
"Thank you for registering with %s","Благодарим Ви за регистрацията"
"You will receive welcome email with registration info in a moment.","Ще получите поздравителен и-мейл с детайли за регистрацията Ви съвсем скоро."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Вашият профил във Фейсбук не може да предостави цялата необходима информация. Моля регистрирайте се, след което присъединете своя Фейсбук профил за бърз и лесен вход в системата ни."
"Connect with Facebook","Връзка с Фейсбук."
"Facebook Connect","Връзка с Фейсбук."
"Facebook Users","Фейсбук потребители"
"Use your Facebook account to login or register within our store. You're just one click away.","Използвайте профила си във Фейсбук за вход или регистрация."
"Facebook Connect Options","Опции за свързване с Фейсбук"
"Enabled","Позволено"
"Application Api Key","Api Key на приложението"
"Application Secret","Application Secret на приложението"
"Locale","Локално"
