"Facebook connection failed.","La connexió amb Facebook ha fallat."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","El teu compte de Facebook s'ha vinculat correctament. Ara ja pots accedir ràpidament a través de Facebook Connect."
"Service temporarily unavailable.","Servei temporalment no disponible."
"Email address is required.","Es necessita un compte de correu electrònic."
"Thank you for registering with %s","Gràcies per registrar-te a %s"
"You will receive welcome email with registration info in a moment.","En breu rebràs un correu electrònic de benvinguda amb l'informació del teu registre."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","El teu perfil de Facebook no pot proporcioniar tota l'informació requerida. Siusplau regístra't i després podràs connectar ràpidament a través de Facebook."
"Connect with Facebook","Connectar amb Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Usuaris de Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Fes servir el teu compte de Facebook per accedir o per registrar-te a la nostra pàgina. Només et costarà un click."
"Facebook Connect Options","Opcions de connexió amb Facebook."
"Enabled","Activat"
"Application Api Key","Clau Api de l'aplicació"
"Application Secret","Clau secreta de l'aplicació"
"Locale","Codi de la traducció"
