"Facebook connection failed.","Spojení selhalo"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Facebook účet úspěšně připojen"
"Service temporarily unavailable.","Služba je momentálně nedostupná"
"Email address is required.","je vyžadována emailová adresa"
"Thank you for registering with %s","Děkujeme za registraci"
"You will receive welcome email with registration info in a moment.","Za chvíli obdržíte registrační email"
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Napřed se přihlašte do Facebooku a poté proveďte propojení pomocí Facebooku"
"Connect with Facebook","Přihlašte se pomocí Facebooku"
"Facebook Connect","Facebook Connec"
"Facebook Users","Facebook uživatelé"
"Use your Facebook account to login or register within our store. You're just one click away.","Použijte Váš účet na Facebooku k přihlášení nebo registraci na našem obchodě, stačí pouze jedno kliknutí "
"Facebook Connect Options","Možnosti Facebook přihlášení"
"Enabled","Povoleno"
"Application Api Key","Api Key "
"Application Secret","Application Secret"
"Locale","Jazyk"
