"Facebook connection failed.","Facebook forbindelse fejlede."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Din Facebook konto er blevet forbundet. Nu kan du logge ind via Facebook Connect."
"Service temporarily unavailable.","Service midlertidigt ude af drift."
"Email address is required.","Email addresse er påkrævet."
"Thank you for registering with %s","Tak fordi du registrerede dig hos %s"
"You will receive welcome email with registration info in a moment.","Du vil modtage en velkomstmail om et øjeblik."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook profil kan ikke få adgang til din information. Registrer dig venligst og forbind med Facebook igen."
"Connect with Facebook","Forbind med Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook brugere"
"Use your Facebook account to login or register within our store. You're just one click away.","Brug din Facebook-konto til at logge ind eller registrere dig i vores butik. Du er kun et klik væk."
"Facebook Connect Options","Facebook Connect muligheder"
"Enabled","Aktiveret"
"Application Api Key","Program Api nøgle"
"Application Secret","Program hemmelighed"
"Locale","Sprog"
