"Facebook connection failed.","Facebook'i ühendus ebaõnnestus."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Sinu Facebooki konto on õnnestunult ühendatud. Nüüd on sul võimalus edaspidi kiirelt siseneda kasutades Facebook Connect võimalust."
"Service temporarily unavailable.","Teenus ajutiselt kättesaamatu."
"Email address is required.","E-posti aadressi sisestamine on kohustuslik."
"Thank you for registering with %s","Tänud, et registreerusite %s"
"You will receive welcome email with registration info in a moment.","Teie postkasti peaks peagi saabuma kiri registreerumisinfoga."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebooki profiil ei paku piisavat infot, palun registreeri ja proovi siis uuesti ühendada Facebook'i kaudu."
"Connect with Facebook","Ühenda kasutades Facebook'i"
"Facebook Connect","Facebook Ühendus"
"Facebook Users","Facebook Kasutajad"
"Use your Facebook account to login or register within our store. You're just one click away.","Kasuta oma Facebook'i kontot sisse logimiseks või registreerumiseks meie e-poodi. Oled sellest kõigest ühe kliki kaugusel."
"Facebook Connect Options","Facebook Ühenduse seaded"
"Enabled","Võimaldatud"
"Application Api Key","Aplikatsiooni API kood"
"Application Secret","Aplikatsiooni Secret kood"
"Locale","Kohalik piirkond"
