"Facebook connection failed.","Facebook csatlakozás sikertelen."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","A Facebook fiókoddal sikerült regisztrálnod. Mostantól bármikor be tudsz jelentkezni a Facebook Bejelentkezés gombbal."
"Service temporarily unavailable.","A szolgáltatás pillanatnyilag nem elérhető."
"Email address is required.","Email cím megadása szükséges!"
"Thank you for registering with %s","Köszönjük, hogy regisztrált a %s oldalon"
"You will receive welcome email with registration info in a moment.","Hamarosan kap egy regisztrációs üzenetet."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","A Facebook oldaladon nincs megadva elég információ. Kérjük először regisztrálj és utána használd a Facebook Bejelentkezés gombot"
"Connect with Facebook","Bejelentkezés Facebook-al"
"Facebook Connect","Facebook Bejelentkezés"
"Facebook Users","Facebook Felhasználók"
"Use your Facebook account to login or register within our store. You're just one click away.","Használd a Facebook fiókodat a regisztrációhoz! Így csak egy kattintásra lesz szükséged."
"Facebook Connect Options","Facebook Bejelentkezés beállításai"
"Enabled","Engedélyezve"
"Application Api Key","Application Api Key"
"Application Secret","Application Secret"
"Locale","Locale"
