"Facebook connection failed.","Errore durante la connessione con Facebook."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Connessione con il tuo account Facebook riuscita. Da adesso potrai collegarti utilizzando il pulsate Connettiti con Facebook."
"Service temporarily unavailable.","Servizio temporaneamente non disponibile."
"Email address is required.","Indirizzo email obbligatorio."
"Thank you for registering with %s","Grazie per esserti registrato con %s"
"You will receive welcome email with registration info in a moment.","Tra poco riceverai una email di benvenuto con le tue informazioni di registrazione."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Il too profilo di Facebook non ha fornito tutte le information necessarie. Ti preghiamo di registrarti normalmente e dopo utilizzare l'accesso rapido tramite Facebook."
"Connect with Facebook","Connettiti con Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Utenti Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Usa il tuo account Facebook per accedere o registrarti nel nostro sito. Basta un semplice click!"
"Facebook Connect Options","Opzioni di connessione con Facebook"
"Enabled","Attivato"
"Application Api Key","ID applicazione - Chiave API"
"Application Secret","Chiave segreta dell'applicazione"
"Locale","Lingua"
