"Facebook connection failed.","페이스북 연결 실패!"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","페이스북 계정이 성공적으로 연결되었습니다. 이제 언제든지 페이스북 커넥트를 사용하여 빠르고 간편히 로그인할 수 있습니다."
"Service temporarily unavailable.","임시적으로 서비스를 이용할 수 없습니다."
"Email address is required.","이메일주소는 필수항목입니다."
"Thank you for registering with %s","%s에 등록해주셔서 감사합니다."
"You will receive welcome email with registration info in a moment.","잠시후에, 등록정보와 함께 환영 이메일을 받을 것입니다."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","페이스북 프로필은 모든 필수정보을 제공할 수 없습니다. 등록해주십시요. 그런다음에 빠른 로그인을 위하여 페이스북과 연결해주십시요."
"Connect with Facebook","페이스북과 연결하기"
"Facebook Connect","페이스북 연결"
"Facebook Users","페이스북 사용자"
"Use your Facebook account to login or register within our store. You're just one click away.","저희 쇼핑몰내의 로그인이나 회원가입에 당신의 페이스북 계정을 사용하세요."
"Facebook Connect Options","페이스북 연결 옵션"
"Enabled","사용가능"
"Application Api Key","Application API Key"
"Application Secret","Application Secret"
"Locale","지역"
