"Facebook connection failed.","Connectie met Facebook mislukt."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Uw Facebook-account is succesvol gekoppeld. Vanaf nu kunt u altijd snel inloggen met behulp van Facebook Connect."
"Service temporarily unavailable.","Service tijdelijk niet beschikbaar."
"Email address is required.","Emailadres is verplicht."
"Thank you for registering with %s","Bedankt voor uw registratie bij %s"
"You will receive welcome email with registration info in a moment.","U ontvangt van ons een email met daarin uw registratiegegevens."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Het Facebook-profiel biedt niet alle benodigde informatie. Om snel in te kunnen loggen dient u zich eerst te registeren waarna u uw account kan koppelen met Facebook."
"Connect with Facebook","Koppelen met Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook-gebruikers"
"Use your Facebook account to login or register within our store. You're just one click away.","Maak gebruik van uw Facebook-account om in te loggen of te registreren op onze webwinkel. U bent maar één klik verwijderd."
"Facebook Connect Options","Facebook Connect opties"
"Enabled","Ingeschakeld"
"Application Api Key","Application Api Key"
"Application Secret","Application Secret"
"Locale","Taal"
