"Facebook connection failed.","Połączenie z Facebook'iem nie powiodło się."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Twoje konto Facebook'a zostało pomyślnie podłączone. Od teraz możesz używać opcji szybkiego logowania za pomocą Facebook Connect w każdej chwili."
"Service temporarily unavailable.","Serwis tymczasowo niedostępny."
"Email address is required.","Adres e-mail jest wymagany."
"Thank you for registering with %s","Dziękujemy za rejestrację w %s"
"You will receive welcome email with registration info in a moment.","Niebawem otrzymasz maila potwierdzającego Twoją rejestrację."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Twój profil na Facebook'u nie zawiera wszystkich informacji wymaganych do rejestracji, prosimy o rejestrację i ponowne połączenie za pomocą Facebook Connect."
"Connect with Facebook","Zaloguj za pomocą Facebook'a"
"Facebook Connect","Facebook Connect"
"Facebook Users","Użytkownicy Facebook'a"
"Use your Facebook account to login or register within our store. You're just one click away.","Użyj swojego konta Facebook aby zalogować lub zarejestrować się w naszym sklepie. To tylko jedno kliknięcie."
"Facebook Connect Options","Opcje Facebook Connect"
"Enabled","Odblokowane"
"Application Api Key","Klucz API aplikacji"
"Application Secret","Sekretny klucz aplikacji"
"Locale","Wersja językowa"
