"Facebook connection failed.","A conexão com o Facebook falhou."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Sua conta do Facebook foi conectada com sucesso. Agora você pode fazer login rapidamente usando o Facebook Connect a qualquer momento."
"Service temporarily unavailable.","Serviço temporariamente indisponível."
"Email address is required.","Endereço de email é obrigatório."
"Thank you for registering with %s","Obrigado por se registrar com %s"
"You will receive welcome email with registration info in a moment.","Em breve você receberá um email de boas-vindas com as informações de registro."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","O perfil do Facebook não pode fornecer todas as informações necessárias, registre-se e depois conecte-se com o Facebook para fazer o login rápido."
"Connect with Facebook","Conectar com Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Usuários do Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Use sua conta do Facebook para fazer login ou registre-se dentro de nossa loja. Você está apenas à um clique de distância."
"Facebook Connect Options","Opções do Facebook Connect"
"Enabled","Habilitado"
"Application Api Key","Chave da Aplicação Api"
"Application Secret","Chave Secreta da Aplicação Api"
"Locale","Localidade"
