"Facebook connection failed.","A conecção com o Facebook falhou."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","A sua conta do Facebook foi conectada com sucesso. Agora pode fazer login rapidamente usando o Facebook Connect em qualquer momento."
"Service temporarily unavailable.","O Serviço está temporariamente indisponível."
"Email address is required.","O endereço de email é obrigatório."
"Thank you for registering with %s","Obrigado por se registrar com %s"
"You will receive welcome email with registration info in a moment.","Em breve receberá um email de boas-vindas com as suas informações de registo."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","O perfil do Facebook não pode fornecer todas as informações necessárias, registre-se e depois conecte-se com o Facebook para fazer o login."
"Connect with Facebook","Conecte-se via Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Usuários do Facebook"
"Use your Facebook account to login or register within our store. You're just one click away.","Use sua conta do Facebook para se autenticar ou registe-se na nossa loja. Está apenas a um clique de distância."
"Facebook Connect Options","Opções do Facebook Connect"
"Enabled","Activado"
"Application Api Key","Chave da Aplicação"
"Application Secret","Chave Secreta da Aplicação"
"Locale","Localidade"
