"Facebook connection failed.","Facebook-kopplingen misslyckades."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Ditt Facebook-konto har nu kopplats ihop med butiken. Du kan nu logga in med hjälp av Facebook Connect."
"Service temporarily unavailable.","Tjänsten är för tillfället otillgänglig."
"Email address is required.","E-postadress är obligatorisk."
"Thank you for registering with %s","Tack för att du registrerade dig hos %s"
"You will receive welcome email with registration info in a moment.","Du kommer snart att få ett välkomstmail med din registreringsinformation."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook-profilen kan inte ge tillräckligt med information, registrera dig och koppla därefter med Facebook för snabbare inloggning."
"Connect with Facebook","Koppla ihop med Facebook"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook-användare"
"Use your Facebook account to login or register within our store. You're just one click away.","Använd ditt Facebook-konto för att logga in eller registrera dig i butiken, du är bara ett klick bort."
"Facebook Connect Options","Inställningar för Facebook Connect"
"Enabled","Aktiverad"
"Application Api Key","API-nyckel"
"Application Secret","Applikationshemlighet"
"Locale","Språk"
