"Facebook connection failed.","Facebook連接失敗。"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","您的Facebook帳戶已成功連接。現在，您可以隨時隨地使用Facebook Connect作快速登錄。"
"Service temporarily unavailable.","服務暫時不可用。"
"Email address is required.","請輸入電郵地址。"
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","您的Facebook帳戶已成功連接。現在，您可以隨時隨地使用Facebook Connect作快速登錄。"
"Thank you for registering with %s","感謝您註冊使用 %s"
"You will receive welcome email with registration info in a moment.","您將會很快收到含註冊訊息的歡迎電郵。"
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook的個人主頁不能提供所有必要的信息，請先登記再使用Facebook Connect作快速登錄。"
"Connect with Facebook","與Facebook連接"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook用戶"
"Use your Facebook account to login or register within our store. You're just one click away.","您只需輕鬆按下一鍵就可以使用Facebook帳戶於我們的網上商店登入或註冊。"
"Facebook Connect Options","Facebook Connect選項"
"Enabled","啓用"
"Application Api Key","應用程式API鑰匙"
"Application Secret","Application密鑰"
"Locale","語言環境"

